Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
FIVN11;Shoppings;4.6;589.0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;71.559.512,32;7.6;61.0;;;;;56,00%;;1
BZLI11;Títulos e Val. Mob.;15.95;30033.0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0.68%;0.68%;1.14%;428.081.706,75;11.86;134.0;;;;;;;0
XTED11;Lajes Corporativas;7.3;1814.0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1.1%;1.1%;-37.83%;26.298.791,43;14.67;50.0;;;;;100,00%;100,00%;1
ALMI11;Lajes Corporativas;1.190,00;148.0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2.27%;2.27%;-28.29%;220.554.740,93;1983.82;60.0;;;;;71.19%;;1
DOMC11;Lajes Corporativas;477;2.0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4.35%;4.35%;-10,00%;244.148.383,80;999.05;48.0;;;;;23.44%;;1
PABY11;Híbrido;16.1;62.0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-19.84%;-19.84%;-31.62%;-2.771.782,96;-3.65;-441.0;;;;;;;1
BBVJ11;Lajes Corporativas;58.5;1359.0;0.33;0.61%;0.74%;0.94%;0.96%;0.25%;0.16%;0.08%;0.96%;19.24%;19.96%;-9.15%;155.876.717,71;57.52;102.0;;;;;59.3%;;1
RBCB11;Outros;19;161.0;0;0,00%;0.29%;4.38%;14.62%;0.1%;0.73%;1.22%;4.38%;-71.35%;-71.35%;-75.16%;40.071,39;0.75;2518.0;;;;;;;0
RBDS11;Residencial;31.49;42.0;0.62;0.38%;3.38%;6.82%;17.81%;1.13%;1.14%;1.48%;13.35%;-21.63%;-21.33%;-29.55%;4.541.055,15;35.89;88.0;;;;;;;0
KNRE11;Residencial;4.17;5543.0;0.26;3.92%;5.11%;5.11%;9.25%;1.7%;0.85%;0.77%;7.82%;5.28%;9.41%;-24.78%;76.870.631,76;4.14;101.0;;;;;;;0
FMOF11;Lajes Corporativas;88.03;58.0;0.27;0.25%;1.06%;1.06%;3.09%;0.35%;0.18%;0.26%;1.06%;22.1%;22.4%;19.19%;66.442.284,63;130.79;67.0;;;;;43.75%;;1
ATSA11;Shoppings;115.5;65.0;0.25;0.18%;0.59%;1.3%;2.97%;0.2%;0.22%;0.25%;0.37%;0.74%;0.92%;1.1%;189.543.098,00;110.51;105.0;;;;;18.8%;;1
XPHT11;Hotel;92;54.0;0.34;0.4%;1.05%;2.23%;0,00%;0.35%;0.37%;0,00%;1.05%;-18.27%;-17.94%;-16.89%;468.709.982,28;125.4;73.0;;;;;92.7%;;5
