AF INVEST CRI FDO. INV. IMOB – RECEBÍVEIS IMOB.;FII AFHI CRI;;AFHI;
AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.;FII AFINVCR;;AFCR;
ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII ALIANZFF;;AFOF;
ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;FII ALIANZA;;ALZR;
AQ3 RENDA FDO INV IMOB - FII;FII AQUIL RD;MB;ARFI;
ÁQUILLA FDO INV IMOB - FII;FII AQUILLA;;AQLL;
AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.;FII AUTONOMY;;AIEC;
BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB  FII;FII BEES CRI;;BCRI;
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;FII BANRISUL;;BNFS;
BB FDO INV IMOB PROGRESSIVO;FII BB PROGR;MB;BBFI;
BB FUNDO DE FUNDOS - FDO. INV. IMOB.;FII BB FOF;;BBFO;
BB PROGRESSIVO II FDO INV IMOB - FII;FII BB PRGII;;BBPO;
BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII;FII BB RECIM;;BBIM;
BB RENDA CORPORATIVA FDO INV IMOB - FII;FII BB CORP;;BBRC;
BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII;FII BB PAPII;;RDPD;
BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII;FII BB R PAP;;RNDP;
BLUECAP RENDA LOG. FDO INV. IMOB. - FII;FII BLUECAP;;BLCP;
BLUEMACAW CRÉDITO IMOBILIÁRIO - FDO. INV. IMOB.;FII BLUE CRI;;BLMC;
BLUEMACAW LOGÍSTICA FDO. INVEST. IMOB.;FII BLUE LOG;;BLMG;
BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.;FII BLUEMAC;;BLMO;
BLUEMACAW RENDA + FOF FDO. INVEST. IMOB.;FII BLUE FOF;;BLMR;
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII;FII BCIA;;BCIA;
BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB;FII BRE VIC;;BREV;
BRAZIL REALTY FDO INV IMOB;FII BRREALTY;;BZLI;
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII;FII DEA CARE;;CARE;
BRESCO LOGÍSTICA - FDO INV IMOB;FII BRESCO;;BRCO;
BRIO CRÉDITO ESTRUTURADO - FDO. INVEST. IMOB.;FII BRIO CRE;;BICE;
BRIO REAL ESTATE II - FDO INV IMOB;FII BRIO II;;BRIM;
BRIO REAL ESTATE III FDO DE INVEST. IMOB.;FII BRIO III;;BRIP;
BTG PACTUAL LOGISTICA FDO INV IMOB - FII;FII BTLG;;BTLG;
BTOWERS FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII BTOWERS;;BTWR;
BTSP I FDO. INVEST. IMOB - FII;FII BTSP I;;BTSG;
CAIXA RIO BRAVO FDO DE FDOS INV IMOB II;FII CX RBRA2;;CRFF;
CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII;FII CX RBRAV;;CXRI;
CAPITÂNIA REIT FOF - FDO. INVEST. IMOB;FII CAP REIT;;CPFF;
CAPITANIA SECURITIES II FDO INV IMOB - FII;FII CAPI SEC;;CPTS;
CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII;FII C BRANCO;;CBOP;
CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII CF2;;CFHI;
CIDADE JARDIM CONTINENAL TOWER FDO INV IMOB;FII CJCTOWER;;CJCT;
CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII CORE MET;;CORM;
CSHG IMOB. FOF - FDO INV. IMOB. - FII;FII CSHG FOF;;HGFF;
CSHG LOGÍSTICA FDO INV IMOB - FII;FII CSHG LOG;;HGLG;
CSHG PRIME OFFICES FDO INV IMOB - FII;FII CSHGPRIM;;HGPO;
CSHG REAL ESTATE FDO INV IMOB - FII;FII HG REAL;;HGRE;
CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII;FII CSHG CRI;;HGCR;
CSHG RENDA URBANA - FDO INV IMOB - FII;FII CSHG URB;;HGRU;
DEL MONTE AJAX FDO INV IMOB - FII;FII DEL MONT;;DLMT;
DEVANT RECEBÍVEIS IMOBILIÁRIOS FDO. INVEST. IMOB.;FII DEVANT;;DEVA;
DIAMANTE FDO INV IMOB;FII DIAMANTE;MB;DAMT;
DOVEL FDO INV IMOB;FII DOVEL;MB;DOVL;
ENERGY RESORT FDO. INVEST. IMOB.;FII ENERGY;;EGYR;
ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB;FII ESTOQ RJ;;ERCR;
EUROPA 105 - FDO INV IMOB;FII EUROPA;;ERPA;
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII EVEN II;;KEVE;
EVEN PERMUTA KINEA FII - FDO INV IMOB;FII EV KINEA;;KINP;
FARIA LIMA CAPITAL RECEB. IMOB. I - FDO INV. IMOB.;FII FL RECEB;;FLCR;
FATOR VERITA FDO INV IMOB - FII;FII FATOR VE;;VRTA;
FDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;FII BRASILIO;;BMII;
FDO INV IMOB - BTG PACTUAL CREDITO IMOBILIARIO;FII BTG CRI;;BTCR;
FDO INV IMOB - BTG PACTUAL METROPOLIS;FII MTRS;;MTRS;
FDO INV IMOB - FII ANCAR IC;FII ANCAR IC;MB;ANCR;
FDO INV IMOB - FII ANHANGUERA EDUCACIONAL;FII ANH EDUC;;FAED;
FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS;FII BMBRC LC;;BMLC;
FDO INV IMOB - FII BRLPROP;FII BRLPROP;;BPRP;
FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;FII BC FUND;;BRCR;
FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI;FII EXCELLEN;;FEXC;
FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;FII BC FFII;;BCFF;
FDO INV IMOB - FII CAMPUS FARIA LIMA;FII CAMPUSFL;;FCFL;
FDO INV IMOB - FII CENESP;FII CENESP;;CNES;
FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES;FII CEO CCP;;CEOC;
FDO INV IMOB - FII CYRELA THERA CORPORATE;FII BM THERA;;THRA;
FDO INV IMOB - FII EDIFÍCIO ALMIRANTE BARROSO;FII ALMIRANT;MB;FAMB;
FDO INV IMOB - FII EDIFÍCIO GALERIA;FII GALERIA;;EDGA;
FDO INV IMOB - FII ELDORADO;FII ELDORADO;MB;ELDO;
FDO INV IMOB - FII FLORIPA SHOPPING;FII FLORIPA;;FLRP;
FDO INV IMOB - FII HOSPITAL DA CRIANÇA;FII CRIANCA;;HCRI;
FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES;FII LOURDES;;NSLU;
FDO INV IMOB - FII HOTEL MAXINVEST;FII HOTEL MX;;HTMX;
FDO INV IMOB - FII MAX RETAIL;FII MAX RET;;MAXR;
